Age,StressLevel,PhysicalActivity,CaffeineIntake,ScreenTime,SleepDuration,SleepQuality
40,7,0,202,4,5.65,48.8
62,4,7,50,3,7.0,84.86
62,8,10,270,6,6.31,59.15
51,5,3,323,7,6.83,57.25
26,7,3,276,3,5.61,62.81
41,10,4,140,3,6.5,60.39
25,3,7,274,1,8.0,77.54
24,7,4,289,4,6.39,58.85
53,8,7,333,5,6.44,54.31
35,5,9,380,8,6.88,75.32
20,4,0,372,2,6.31,62.74
45,8,9,51,2,8.37,73.09
23,8,8,26,3,6.92,71.68
61,3,5,156,8,7.16,70.36
61,6,2,238,8,5.08,53.64
38,5,7,155,4,6.27,70.75
45,2,8,290,7,7.19,72.23
57,8,5,135,7,6.71,54.69
18,6,10,143,6,8.21,66.01
53,2,6,105,1,9.23,88.74
38,5,0,157,4,7.12,55.28
60,1,4,145,4,7.94,73.55
52,10,4,1,1,6.98,60.6
30,6,9,76,8,6.55,68.27
27,9,3,131,7,5.98,50.22
61,1,5,89,7,8.27,74.99
64,10,6,344,8,6.0,41.52
27,3,8,349,7,6.26,72.89
63,7,0,262,3,6.23,54.8
30,4,5,350,4,6.89,68.45
54,9,6,107,2,7.06,62.76
55,3,2,73,1,7.48,76.75
41,5,7,38,7,7.75,72.11
19,3,4,396,6,6.71,59.04
39,7,8,158,7,6.56,70.53
34,5,4,70,7,7.19,71.26
53,9,8,311,5,6.18,59.54
31,7,9,240,3,6.33,66.37
27,2,3,297,1,6.81,76.69
52,4,8,35,5,7.07,83.74
42,9,4,83,5,6.97,49.09
20,2,9,373,6,7.36,83.48
64,10,8,262,4,6.18,46.84
55,9,2,309,6,6.19,46.85
34,10,3,384,4,5.42,50.15
29,5,8,171,4,6.66,72.7
41,2,9,375,1,7.36,81.7
46,4,10,172,7,8.34,78.68
60,7,5,361,1,6.05,69.93
42,8,1,46,3,6.68,55.51
53,3,6,378,4,7.19,65.56
43,1,1,140,5,7.44,69.98
55,4,10,374,7,8.14,61.52
18,2,1,117,2,6.72,78.78
37,8,10,276,3,6.39,63.65
45,4,0,213,1,6.1,64.07
33,2,10,219,6,7.62,85.98
64,6,10,392,3,7.43,66.86
34,6,10,25,3,7.47,83.55
57,10,2,8,7,6.71,42.67
45,4,5,270,3,6.97,74.19
29,6,7,9,3,7.12,76.54
44,2,8,377,2,6.49,78.65
59,10,6,120,8,5.46,50.85
64,2,3,124,6,6.88,65.25
47,10,5,169,6,6.03,50.47
58,4,4,71,6,7.86,68.36
51,8,7,151,4,7.27,56.77
54,7,0,207,5,5.51,46.93
23,9,0,48,8,6.07,43.91
24,8,10,153,6,7.89,62.37
49,5,5,346,3,7.51,52.06
49,2,9,292,3,7.51,87.32
42,5,1,67,6,7.17,60.08
50,8,4,49,7,7.27,44.86
24,10,0,151,6,4.81,52.14
29,9,6,18,3,6.82,69.97
33,9,0,99,4,7.14,47.29
33,1,3,59,1,7.8,79.92
60,9,8,166,1,5.57,67.94
53,7,0,201,8,5.65,46.98
30,9,3,344,8,5.9,43.79
24,8,5,145,6,6.49,52.45
53,1,5,163,2,8.16,88.6
64,8,7,241,6,6.91,55.0
26,8,0,68,7,5.86,51.86
49,3,6,174,6,7.01,68.6
28,1,0,48,8,7.14,81.8
25,8,6,107,1,7.21,70.57
50,3,2,225,3,6.9,82.77
40,3,10,160,6,7.84,84.34
42,1,7,118,3,7.72,83.75
25,5,2,148,3,7.18,68.81
62,10,0,149,2,6.19,52.03
39,7,7,292,3,6.01,65.21
21,10,2,142,1,6.04,55.99
